Id,City,NeighborHood,AuxiliaryRoad, CoffeeShopName,StartAt,EndAt,CountOfFeaturs,PhoneNumber,free internet,hookah,cigarettes,parking-lot,Pose,Free-Delivery,View,BreakFast,Outdoor,Live-Music,TotalRate,QualityPoint,ServicePoint,DecorationPoint,WorthRatio
103,تهران,خیابان جردن, خیابان ناهید غربی، پلاک 53,نلسون کلاپ,12:00,24:00:00,4,2126203563,1,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0
104,تهران,جنت آباد مرکزی, بن بست یازدهم,محفل سنتی سلطانی (دیزی و قلیان),7:00,24:00:00,3,2144438181,0,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0
105,تهران,خیابان بهشتی, خیابان کاووسی فر، پلاک 33، طبقه 2,پارسی,10:00,24:00:00,5,2188745904,1,1,1,0,1,0,0,1,0,0,0.0,0,0,0,0
106,تهران,فرمانيه, خيابان لواساني ، روبروي خيابان اقايي ،جنب موسسه كوثر,سلاطین,11:00,24:00:00,4,2122210900,1,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0
107,تهران,نياوران, انتهاي خيابان مقدسي ، خيابان عرفاني ، خيابان همايون ، كوچه مريم ، كوچه صادقي ، انتهاي كوچه پلاك ٤٨,بوکالانج,12:00,24:00:00,5,2122751198,0,1,1,0,1,1,0,1,0,0,0.0,0,0,0,0
108,تهران,خیابان رودکی, بالاتر از تقاطع امام خمینی، پلاک ۲۸۸,قلیان سرای حنان,10:00,24:00:00,3,2166881730,0,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0
109,تهران,برج آ اس پ,راهروی طبقه همکف،پلاک66,لِوی,10:00,24:00:00,5,21888616551,1,0,1,1,1,0,0,1,0,0,0.0,0,0,0,0
110,تهران,سعادت آباد,پایین تر از میدان بهرود،جنب مرکز خرید پرواز,بل,17:00,24:00:00,5,2122078497,0,1,1,1,1,0,0,0,1,0,0.0,0,0,0,0
111,تهران,میدان هفت حوض, خ آیت شمالی، مجتمع تجاری امرالد استار، طبقه دوم,عمارت تراس,12:00,24:00:00,3,9129649818,0,1,0,1,1,0,0,0,0,0,0.0,0,0,0,0
112,تهران,نیاوران," سه راه یاسر، انتهای صادقی قمی،
ابتدای خلیلی ،مجتمع پارسیان جماران، دهکده ایرانی",مکتب قهوه,12:00,24:00:00,3,9100019973,0,0,0,1,1,0,0,1,0,0,0.0,0,0,0,0
113,تهران,ایران‌مال, طبقه جی ۲، جنب کتابخانه جندی‌شاپور، شبرو بازار,شبرو,11:00,24:00:00,2,9127772350,0,0,0,1,1,0,0,0,0,0,0.0,0,0,0,0
114,تهران,فرودگاه مهرآباد,ترمینال ۲,کارزین (فرودگاه مهرآباد),12:00,24:00:00,3,2144675066,0,0,0,1,1,0,0,1,0,0,0.0,0,0,0,0
115,تهران,شهرك غرب," روبروى اريكه ايرانيان
خيابان حافظى پلاك ٥٠",لامور,10:30,24:00:00,3,2126359045,0,0,0,1,1,1,0,0,0,0,0.0,0,0,0,0
116,تهران,جردن, بلوار آرش غربی(کنار گذر)٫ پلاک۲۴,رومرون,12:00,24:00:00,3,2188887001,0,0,0,1,1,1,0,0,0,0,0.0,0,0,0,0
117,تهران,میدان آرژانتین, انتهای خیابان الوند، خیابان اسفراین، نبش اهورا مزدا، طبقه آخر هتل اسکان الوند,شار لانژ,16:00,24:00:00,3,2188878510,0,0,0,1,1,0,0,0,1,0,0.0,0,0,0,0
118,تهران,بزرگراه ارتش,برج های آتی ساز،برج نرگس،واحد ۶,زی (ارتش),12:00,24:00:00,4,2122491360,0,0,0,1,1,1,0,0,1,0,0.0,0,0,0,0
119,تهران,جردن, بلوار آرش غربی٫ پلاک۲۴,روم رون,12:00,24:00:00,4,2188887001,0,0,1,1,1,0,0,0,1,0,0.0,0,0,0,0
120,تهران,شهرک غرب, بلوار دادمان، ابتدای خیابان درختی، مرکز خرید سپهر، طبقه اول,ماهور (شهرک غرب),11:00,24:00:00,2,2188071090,0,0,0,1,1,0,0,0,0,0,0.0,0,0,0,0
121,تهران,سعادت‌آباد, میدان کاج ، سرو شرقی ، بلوار علامه شمالی ، نبش چهاردهم شرقی,زئوس,18:00,24:00:00,2,2122148200,0,0,0,1,1,0,0,0,0,0,0.0,0,0,0,0
122,تهران,چمران شمال, بعد از پل نیایش ، خیابان سئول ، شهرک سئول ، نبش هشتم شرقی( روبه روی درب غربی باشگاه انقلاب),کالوشه,10:00,24:00:00,3,2122129960,1,0,0,1,1,0,0,0,0,0,0.0,0,0,0,0
123,تهران,گیشا, بین خیابان 10 و 12 ، پلاک 13,مانی (گیشا),11:00,24:00:00,4,2188272823,1,1,0,1,1,0,0,0,0,0,0.0,0,0,0,0
124,تهران,خیابان ولیعصر, نرسیده به توانیر ، نبش کوچه بخشندگار ساختمان مدیکو,مدیکو,8:00,24:00:00,6,2186081279,1,0,1,1,1,0,0,1,1,0,0.0,0,0,0,0
125,تهران,سهروردی شمالی, پایین‌تر از بهشتی، خیابان میرزای زینالی، پلاک ۴۲,رویال گلکسی,7:00,24:00:00,4,2186125583,1,0,0,1,1,0,0,0,0,1,0.0,0,0,0,0
126,تهران,میدان کوهسار,جاده سولقان،روبه روی سفره خانه ماه عسل,کوه نور,12:00,24:00:00,5,9125260681,0,1,0,1,1,0,0,0,1,1,0.0,0,0,0,0
127,تهران,ونك,خيابان خدامى،روبروى هتل هما,روچیک,13:00,24:00:00,4,2188191401,0,1,0,1,1,0,0,0,0,1,0.0,0,0,0,0
128,تهران,آجودانیه,مجتمع  تجاری عرش,رولکس لانژ,12:00,24:00:00,7,9395408127,1,1,1,1,1,0,0,0,1,1,0.0,0,0,0,0
129,تهران,تهرانپارس,خیابان دماوند، نبش خیابان مهرنامی، پلاک ۲۸۷/۱,واریو,12:00,24:00:00,2,2177732149,0,0,0,0,1,0,0,0,0,1,0.0,0,0,0,0
130,تهران,ستارخان, فلکه اول صادقیه، پاساژ پردیس، طبقه دوم,هشت بهشت,11:00,24:00:00,5,2144201855,0,0,1,0,1,1,0,0,1,1,0.0,0,0,0,0
131,تهران,غرب به شرق شیخ فضل الله نوری,بعد از ستاری،خروجی شهرک آپادانا،شمال شرقی میدان برادران محمدی,پایپار,10:00,24:00:00,6,2144675059,0,1,1,1,1,0,0,0,1,1,0.0,0,0,0,0
